"MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"Cluster 3","Clustered","5.0","COL4A5","false","COL4A5"
"Cluster 3","Clustered","4.0","COL8A2","false","COL8A2"
"Cluster 3","Clustered","5.0","COL6A5","false","COL6A5"
"Cluster 3","Seed","5.0","COL6A6","false","COL6A6"
"Cluster 3","Clustered","5.0","COL6A2","false","COL6A2"
"Cluster 3","Clustered","5.0","ITGA9","false","ITGA9"
