"MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"Cluster 2","Clustered","8.0","PROM1","false","PROM1"
"Cluster 2","Clustered","8.0","USP9Y","false","USP9Y"
"Cluster 2","Clustered","7.0","AR","false","AR"
"Cluster 2","Clustered","7.822222222222222","KRT5","false","KRT5"
"Cluster 2","Clustered","8.0","ESR1","false","ESR1"
"Cluster 2","Clustered","8.0","TMSB4Y","false","TMSB4Y"
"Cluster 2","Clustered","8.0","RPS4Y1","false","RPS4Y1"
"Cluster 2","Clustered","8.0","ZFY","false","ZFY"
"Cluster 2","Clustered","7.822222222222222","CD34","false","CD34"
"Cluster 2","Seed","8.0","EIF1AY","false","EIF1AY"
"Cluster 2","Clustered","8.0","DDX3Y","false","DDX3Y"
"Cluster 2","Clustered","7.822222222222222","KRT8","false","KRT8"
"Cluster 2","Clustered","7.822222222222222","EPCAM","false","EPCAM"
"Cluster 2","Clustered","8.0","KDM5D","false","KDM5D"
"Cluster 2","Clustered","8.0","UTY","false","UTY"
"Cluster 2","Clustered","7.822222222222222","FN1","false","FN1"
"Cluster 2","Clustered","7.822222222222222","PXDN","false","PXDN"
"Cluster 2","Clustered","8.0","PRKY","false","PRKY"
"Cluster 2","Clustered","7.822222222222222","CCND1","false","CCND1"
"Cluster 2","Clustered","7.822222222222222","KRT18","false","KRT18"
